Date,TN,KA,MH,DL,KL
2020-03-14,1,6,14,7,19
2020-03-15,0,0,18,0,5
2020-03-16,0,1,6,0,3
2020-03-17,0,2,3,1,0
2020-03-18,1,5,3,2,0
2020-03-19,1,1,4,4,1
2020-03-20,0,0,4,6,12
2020-03-21,3,5,12,7,12
2020-03-22,3,6,10,0,15
2020-03-23,3,7,23,3,28
2020-03-24,6,8,10,0,14
2020-03-25,8,10,15,5,9
2020-03-26,3,4,3,1,19
2020-03-27,9,9,31,4,39
2020-03-28,4,17,30,9,6
2020-03-29,8,2,17,23,20
2020-03-30,17,5,17,25,32
2020-03-31,57,13,82,23,7
2020-04-01,110,9,33,32,24
2020-04-02,75,14,88,141,21
2020-04-03,102,4,64,93,9
2020-04-04,74,16,148,59,11
2020-04-05,86,7,112,58,8
2020-04-06,50,12,121,22,13
2020-04-07,69,12,150,51,9
2020-04-08,48,6,117,93,9
2020-04-09,96,16,229,51,12
2020-04-10,77,10,210,183,7
2020-04-11,58,8,187,166,10
2020-04-12,106,17,221,85,2
2020-04-13,98,15,352,356,3
2020-04-14,31,13,346,51,8
2020-04-15,38,19,236,17,1
2020-04-16,25,36,285,62,7
2020-04-17,56,44,120,67,1
2020-04-18,49,25,327,186,4
2020-04-19,105,6,552,110,2
2020-04-20,43,18,466,78,6
2020-04-21,76,10,552,75,19
2020-04-22,33,9,431,92,11
2020-04-23,54,18,778,128,10
2020-04-24,72,29,390,138,3
2020-04-25,66,26,811,111,7
2020-04-26,64,3,440,293,11
2020-04-27,52,9,522,190,13
2020-04-28,121,11,728,206,4
2020-04-29,104,12,597,125,10
2020-04-30,161,30,583,76,2
2020-05-01,203,24,1008,223,0
2020-05-02,231,12,790,384,2
2020-05-03,266,13,678,427,0
2020-05-04,527,37,1567,349,0
2020-05-05,508,22,984,206,3
2020-05-06,771,20,1233,428,0
2020-05-07,580,12,1216,448,0
2020-05-08,600,48,1089,338,1
2020-05-09,526,41,1165,224,2
2020-05-10,669,54,1943,381,7
2020-05-11,798,14,1230,310,7
2020-05-12,716,63,1026,406,5
2020-05-13,509,34,1495,359,10
2020-05-14,447,28,1602,472,26
2020-05-15,434,69,1576,425,16
2020-05-16,477,36,1606,438,11
2020-05-17,639,55,2347,422,14
2020-05-18,536,99,2005,299,29
2020-05-19,688,149,2078,500,12
2020-05-20,743,67,2161,534,24
2020-05-21,776,143,2345,571,24
2020-05-22,786,138,2940,660,42
2020-05-23,759,216,2608,591,62
2020-05-24,765,130,3041,508,53
2020-05-25,805,93,2436,635,49
2020-05-26,646,101,2091,412,67
2020-05-27,817,135,2190,792,40
2020-05-28,827,115,2598,1024,85
2020-05-29,874,248,2682,1105,62
2020-05-30,938,141,2940,1163,58
2020-05-31,1149,299,2487,1295,61
2020-06-01,1162,187,2358,990,57
2020-06-02,1091,388,2287,1298,86
2020-06-03,1286,267,2560,1513,82
2020-06-04,1384,257,2933,1359,94
2020-06-05,1438,515,2436,1330,111
2020-06-06,1458,378,2739,1320,108
2020-06-07,1515,239,3007,1282,107
2020-06-08,1562,308,2554,1007,91
2020-06-09,1685,161,2258,1366,91
2020-06-10,1927,120,3254,1501,65
2020-06-11,1875,204,3607,1877,83
2020-06-12,1982,271,3493,2137,78
2020-06-13,1989,308,3427,2134,85
2020-06-14,1974,176,3390,2224,54
2020-06-15,1843,213,2786,1647,82
2020-06-16,1515,317,2701,1859,79
2020-06-17,2174,204,3307,2414,75
2020-06-18,2141,210,3752,2877,97
2020-06-19,2115,337,3827,3137,118
2020-06-20,2396,416,3874,3630,127
2020-06-21,2532,453,3870,3000,133
2020-06-22,2710,249,3721,2909,138
2020-06-23,2516,322,3214,3947,141
2020-06-24,2865,397,3889,3788,152
2020-06-25,3509,442,4842,3390,123
2020-06-26,3645,445,5024,3460,150
2020-06-27,3713,918,6368,2948,195
2020-06-28,3940,1267,5493,2889,118
2020-06-29,3949,1105,5257,2084,122
2020-06-30,3943,947,4878,2199,131
2020-07-01,3882,1272,5537,2442,151
2020-07-02,4343,1502,6328,2373,160
2020-07-03,4329,1694,6364,2520,211
2020-07-04,4280,1839,7074,2505,240
2020-07-05,4150,1925,6555,2244,225
2020-07-06,3827,1843,5368,1379,193
2020-07-07,3616,1498,5134,2008,272
2020-07-08,3756,2062,6603,2033,301
2020-07-09,4231,2228,6875,2187,339
2020-07-10,3680,2313,7862,2089,416
2020-07-11,3965,2798,8139,1781,488
2020-07-12,4244,2627,7827,1573,435
2020-07-13,4328,2738,6497,1246,449
2020-07-14,4526,2496,6741,1606,608
2020-07-15,4496,3176,7975,1647,623
2020-07-16,4549,4169,8641,1652,722
2020-07-17,4538,3693,8308,1462,791
2020-07-18,4807,4537,8348,1475,593
2020-07-19,4979,4120,9518,1211,821
2020-07-20,4985,3648,8240,954,794
2020-07-21,4965,3649,8336,1349,720
2020-07-22,5849,4764,10576,1227,1038
2020-07-23,6472,5030,9895,1041,1078
2020-07-24,6785,5007,9615,1025,885
2020-07-25,6988,5072,9251,1142,1103
2020-07-26,6986,5199,9431,1075,927
2020-07-27,6993,5324,7924,613,702
2020-07-28,6972,5536,7717,1056,1167
2020-07-29,6426,5503,9211,1035,903
2020-07-30,5864,6128,11147,1093,506
2020-07-31,5881,5483,10320,1195,1310
2020-08-01,5879,5172,9601,1118,1129
2020-08-02,5875,5532,9509,961,1169
2020-08-03,5609,4752,8968,805,961
2020-08-04,5063,6259,7760,674,1083
2020-08-05,5175,5619,10309,1076,1195
2020-08-06,5684,6805,11514,1299,1298
2020-08-07,5880,6670,10483,1192,1251
2020-08-08,5883,7178,12822,1404,1420
2020-08-09,5994,5985,12248,1300,1211
2020-08-10,5914,4267,9181,707,1184
2020-08-11,5834,6257,11088,1257,1417
2020-08-12,5871,7883,12712,1113,1212
2020-08-13,5835,6706,11813,956,1564
2020-08-14,5890,7908,12608,1192,1569
2020-08-15,5860,8818,12020,1276,1608
2020-08-16,5950,7040,11111,652,1530
2020-08-17,5890,6317,8493,787,1725
2020-08-18,5709,7665,11119,1374,1758
2020-08-19,5795,8642,13165,1398,2333
2020-08-20,5986,7385,14647,1215,1968
2020-08-21,5995,7571,14161,1250,1983
2020-08-22,5980,7330,14492,1412,2172
2020-08-23,5975,5938,10441,1450,1908
2020-08-24,5967,5851,11015,1061,1242
2020-08-25,5951,8161,10425,1544,2375
2020-08-26,5958,8580,14888,1693,2476
2020-08-27,5981,9386,14857,1840,2406
2020-08-28,5996,8960,14427,1808,2543
2020-08-29,6352,8324,16286,1954,2397
2020-08-30,6495,8852,16408,2024,2154
2020-08-31,5956,6495,11852,1358,1530
2020-09-01,5928,9058,15765,2312,1140
2020-09-02,5990,9860,17433,2509,1547
2020-09-03,5892,8865,18105,2737,1553
2020-09-04,5976,9280,19218,2914,2479
2020-09-05,5870,9746,20800,2973,2655
2020-09-06,5783,9319,23350,3256,3082
2020-09-07,5776,5773,16429,2077,1648
2020-09-08,5684,7866,20131,3609,3026
2020-09-09,5584,9540,23577,4039,3402
2020-09-10,5528,9217,23446,4308,3349
2020-09-11,5519,9464,24886,4266,2988
2020-09-12,5495,9140,22084,4321,2885
2020-09-13,5693,9894,22543,4235,3139
2020-09-14,5752,8244,17066,3229,2540
2020-09-15,5697,7576,20482,4263,3216
2020-09-16,5652,9725,23365,4473,3830
2020-09-17,5560,9366,24619,4432,4351
2020-09-18,5488,8626,21656,4127,4167
2020-09-19,5569,8364,20519,4071,4644
2020-09-20,5516,8191,20627,3812,4696
2020-09-21,5344,7339,15738,2548,2910
2020-09-22,5337,6974,18390,3816,4125
2020-09-23,5325,6997,21029,3714,5376
2020-09-24,5692,7710,19164,3834,6324
2020-09-25,5679,8655,17794,3827,6477
2020-09-26,5647,8811,20419,3372,7006
2020-09-27,5791,9543,18056,3292,7445
2020-09-28,5589,6892,11921,1984,4538
2020-09-29,5546,10453,14976,3227,7354
2020-09-30,5659,8856,18317,3390,8830
2020-10-01,5688,10070,16476,3037,8135
2020-10-02,5595,8793,15591,2920,9258
2020-10-03,5622,9886,14348,2258,7834
2020-10-04,5489,10145,12548,2683,8553
2020-10-05,5395,7051,10244,1947,5042
2020-10-06,5017,9993,12258,2676,7871
2020-10-07,5447,10947,14578,2871,10606
2020-10-08,5088,10704,13395,2726,5445
2020-10-09,5185,10913,12134,2860,9250
2020-10-10,5242,10517,11416,2866,11755
2020-10-11,5015,9523,10792,2780,9347
2020-10-12,4879,7606,7089,1849,5930
2020-10-13,4666,8191,8522,3036,8764
2020-10-14,4462,9265,10552,3324,6244
2020-10-15,4410,8477,10226,3483,7789
